,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
1,0.658,0.877,-2.098,0.0323,0,0.821,105.586,0.173,7,1,4
2,0.519,0.749,-3.318,0.0405,0,0.29,147.905,0.271,6,0,4
3,0.672,0.526,-6.446,0.0599,1.37e-06,0.28,123.999,0.0311,4,1,4
4,0.476,0.777,-3.771,0.0289,0,0.472,167.964,0.0103,4,0,4
5,0.66,0.817,-6.269,0.0521,0,0.714,135.942,0.162,11,0,4
6,0.518,0.861,-4.002,0.0673,1.42e-06,0.457,141.986,0.0277,11,1,4
7,0.578,0.926,-3.689,0.0548,0.0127,0.877,149.976,0.00472,6,0,4
8,0.567,0.789,-5.986,0.115,0,0.438,163.96,0.0156,5,1,4
9,0.402,0.732,-4.665,0.0484,0,0.472,161.032,0.0033,5,1,4
10,0.547,0.613,-7.577,0.0264,0,0.528,79.011,0.431,7,0,4
11,0.777,0.658,-5.191,0.054,0,0.633,110.048,0.0767,0,1,4
12,0.667,0.922,-4.645,0.0353,0,0.761,130.01,0.000354,5,1,4
13,0.602,0.736,-5.778,0.0338,4.57e-05,0.471,96.969,0.00196,5,1,4
14,0.58,0.416,-9.591,0.0291,0,0.453,82.015,0.608,0,1,4
15,0.74,0.172,-8.669,0.0497,0,0.664,122.951,0.658,11,1,4
16,0.664,0.316,-10.345,0.519,2.03e-06,0.541,92.875,0.298,5,1,4
17,0.581,0.619,-6.524,0.0282,0.000106,0.645,137.915,0.769,10,1,4
18,0.696,0.602,-6.156,0.159,2.11e-05,0.305,82.989,0.0679,0,0,4
19,0.646,0.794,-6.104,0.19,6.16e-06,0.287,170.216,0.0885,7,1,4
20,0.592,0.699,-8.995,0.0471,1.68e-05,0.506,141.916,0.655,3,1,4
21,0.712,0.732,-6.754,0.0629,0,0.313,94.071,0.454,4,1,4
22,0.686,0.705,-10.823,0.249,4.55e-06,0.919,151.868,0.832,9,1,5
23,0.512,0.716,-4.13,0.304,9.04e-06,0.703,151.484,0.0669,1,1,4
24,0.628,0.639,-5.46,0.0435,0,0.493,108.045,0.00162,8,1,4
25,0.528,0.797,-7.487,0.0485,0.011,0.751,143.785,0.000391,4,1,4
26,0.641,0.559,-11.132,0.0355,0.00402,0.523,144.982,0.404,7,0,4
