,danceability,energy,loudness,speechiness,instrumentalness,valence,tempo,acousticness,key,mode,time_signature
97,0.813,0.541,-10.949,0.059,0.000416,0.235,129.956,0.301,6,1,4
98,0.643,0.894,-6.021,0.0378,0.467,0.0313,120.004,0.292,7,1,4
99,0.747,0.828,-7.989,0.033,0.951,0.259,123.009,0.186,3,1,4
0,0.814,0.274,-10.074,0.0551,0.871,0.401,125.007,0.915,5,1,3
1,0.501,0.16,-20.692,0.0333,0.942,0.153,139.855,0.963,8,0,4
2,0.923,0.228,-12.418,0.0634,0.931,0.503,124.98,0.78,7,1,4
3,0.824,0.155,-19.637,0.0695,0.322,0.0867,148.11,0.665,6,0,4
4,0.704,0.465,-12.648,0.105,0.881,0.755,131.992,0.916,3,0,4
5,0.879,0.218,-16.681,0.0777,0.79,0.663,129.997,0.566,3,1,4
6,0.605,0.184,-21.113,0.0382,0.84,0.0654,104.009,0.389,9,0,4
7,0.713,0.241,-8.793,0.0583,0.86,0.311,79.982,0.157,3,0,4
8,0.831,0.287,-14.019,0.0565,0.421,0.553,109.988,0.822,6,1,4
9,0.794,0.424,-11.044,0.169,0.95,0.303,75.233,0.944,1,0,4
